frame_idx,left_hand_x,left_hand_y,right_hand_x,right_hand_y
4,342.0538544654846,890.9030914306641,433.3751964569092,875.9750366210938
5,340.62228441238403,876.1713409423828,455.5467653274536,859.3344879150391
6,340.6617021560669,878.2667541503906,474.5845699310303,863.7311553955078
7,340.44070959091187,880.3667449951172,447.27221488952637,850.2845764160156
8,337.85902976989746,880.8243560791016,428.4455966949463,835.5112457275391
9,339.21908140182495,881.5392303466797,429.35003757476807,837.7261352539062
10,342.3965120315552,881.9154357910156,428.9100694656372,837.0246887207031
11,337.83233642578125,882.0503997802734,420.20713806152344,829.3769836425781
12,336.6531729698181,882.5334167480469,420.6316566467285,826.0711669921875
13,326.2377905845642,881.0545349121094,418.66918087005615,823.8633728027344
14,322.0988416671753,880.7595062255859,409.43706035614014,821.4057922363281
15,321.66709184646606,880.6925964355469,411.45472526550293,823.2915496826172
16,324.29986238479614,880.8683776855469,414.8412609100342,826.0346984863281
17,324.51770067214966,880.9354400634766,413.2337808609009,825.4393005371094
18,325.452675819397,881.04736328125,403.9614486694336,822.4395751953125
19,325.9350872039795,881.8044281005859,401.0772371292114,820.6639862060547
20,325.09064197540283,881.95068359375,398.2559394836426,819.8539733886719
21,324.60522651672363,881.9814300537109,395.35078525543213,820.2418518066406
22,324.9434208869934,881.8523406982422,394.6619510650635,820.8149719238281
23,324.5414113998413,880.4022979736328,378.8890600204468,825.2968597412109
24,324.6169424057007,879.8963928222656,377.1848487854004,825.7716369628906
25,325.1928663253784,880.3645324707031,380.0154161453247,825.6956481933594
26,325.11746406555176,880.4289245605469,378.83567333221436,825.5698394775391
30,355.98376750946045,880.5716705322266,412.70944118499756,872.7384185791016
40,331.6726756095886,880.3664398193359,464.34642791748047,877.6617431640625
42,320.93053579330444,882.4691009521484,454.42173957824707,868.3454132080078
43,324.09204483032227,875.8171844482422,420.8292818069458,831.2442779541016
44,334.0979075431824,873.2741546630859,403.88304233551025,829.150390625
45,340.7030725479126,874.5220184326172,414.6178436279297,829.3998718261719
46,339.3249535560608,875.2934265136719,420.07229804992676,834.5137023925781
53,323.0027675628662,875.4072570800781,466.47932052612305,873.4748077392578
54,330.1910662651062,877.7086639404297,465.09843349456787,863.741455078125
55,333.15924167633057,878.7140655517578,459.4466972351074,858.8459014892578
56,331.59926891326904,878.8023376464844,436.137056350708,841.4112091064453
